id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. of pub. (2000-2018)>	score<Avg. pub. year>
135	135	"<table><tr><td>Meso-level field:</td><td>135</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>langmuir; physical review b; journal of physical chemistry c; applied physics letters; nanotechnology</td></tr><tr><td>Terms:</td><td>molecular junction; single molecule force spectroscopy; dip pen nanolithography; mode atomic force microscopy; molecular device</td></tr></table>"	0.8979	-0.2817	3	755	944525	49690	2009.1538
136	136	"<table><tr><td>Meso-level field:</td><td>136</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>lecture notes in computer science; neurocomputing; lecture notes in artificial intelligence; expert systems with applications; pattern recognition</td></tr><tr><td>Terms:</td><td>short term load forecasting; time series forecasting; fuzzy time series; electricity price; multi label classification</td></tr></table>"	0.8201	0.4385	5	776	460453	49617	2010.321
137	137	"<table><tr><td>Meso-level field:</td><td>137</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>lecture notes in computer science; sensors; international journal of distributed sensor networks; wireless personal communications; ieee transactions on mobile computing</td></tr><tr><td>Terms:</td><td>delay tolerant network; mobile sink; vanets; dcf; vehicular ad hoc network</td></tr></table>"	0.9336	0.4519	5	767	279051	49416	2012.3365
138	138	"<table><tr><td>Meso-level field:</td><td>138</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>journal of ethnopharmacology; journal of natural products; natural product research; phytochemistry; chemistry of natural compounds</td></tr><tr><td>Terms:</td><td>triptolide; gambogic acid; oridonin; celastrol; salidroside</td></tr></table>"	-0.2953	-0.2314	2	767	786403	49115	2010.7634
139	139	"<table><tr><td>Meso-level field:</td><td>139</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of hydrology; hydrological processes; water resources research; hydrology and earth system sciences; journal of hydrologic engineering</td></tr><tr><td>Terms:</td><td>swat model; pervious concrete; swat; digital soil mapping; soil loss</td></tr></table>"	0.5114	0.146	4	756	615840	48728	2011.3232
140	140	"<table><tr><td>Meso-level field:</td><td>140</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Journals:</td><td>physical review e; international journal of bifurcation and chaos; chaos solitons & fractals; chaos; acta physica sinica</td></tr><tr><td>Terms:</td><td>stochastic resonance; synchronization; neuron; spiral wafe; cohen grossberg neural network</td></tr></table>"	0.9963	0.309	3	759	363229	48570	2009.4719
141	141	"<table><tr><td>Meso-level field:</td><td>141</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>vaccine; journal of virology; plos one; emerging infectious diseases; influenza and other respiratory viruses</td></tr><tr><td>Terms:</td><td>respiratory syncytial virus; h1n1; human metapneumovirus; h3n2; pandemic influenza</td></tr></table>"	-0.516	-0.3589	2	755	549493	48540	2011.0229
142	142	"<table><tr><td>Meso-level field:</td><td>142</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>surface & coatings technology; diamond and related materials; thin solid films; journal of applied physics; applied surface science</td></tr><tr><td>Terms:</td><td>diamond film; nitrogen vacancy center; nanocrystalline diamond film; nanodiamond; carbon nitride film</td></tr></table>"	1.0752	-0.2224	3	743	429251	48461	2009.1183
143	143	"<table><tr><td>Meso-level field:</td><td>143</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>games and economic behavior; economics letters; journal of economic behavior & organization; journal of economic theory; social choice and welfare</td></tr><tr><td>Terms:</td><td>ultimatum game; dilemma game; public goods game; spatial prisoner; home advantage</td></tr></table>"	-0.1791	0.7967	1	747	385967	47953	2010.5799
144	144	"<table><tr><td>Meso-level field:</td><td>144</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>development; developmental biology; developmental dynamics; plos one; mechanisms of development</td></tr><tr><td>Terms:</td><td>vismodegib; nevoid basal cell carcinoma syndrome; drosophila wing; axenfeld rieger syndrome; ascidian embryo</td></tr></table>"	-0.697	-0.1945	2	761	1344336	47816	2009.5692
145	145	"<table><tr><td>Meso-level field:</td><td>145</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>nonlinear analysis-theory methods & applications; journal of mathematical analysis and applications; electronic journal of differential equations; journal of differential equations; boundary value problems</td></tr><tr><td>Terms:</td><td>variable exponent; critical growth; nodal solution; multiple solution; boundary blow</td></tr></table>"	1.2664	0.2928	5	683	94279	47799	2010.4467
146	146	"<table><tr><td>Meso-level field:</td><td>146</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>historical journal; notes and queries; william and mary quarterly; economic history review; journal of urban history</td></tr><tr><td>Terms:</td><td>jonson; margaret cavendish; milton; titus andronicus; marlowe</td></tr></table>"	-0.2416	0.9168	1	704	93711	47642	2009.7615
147	147	"<table><tr><td>Meso-level field:</td><td>147</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>ieee transactions on power electronics; ieee transactions on industrial electronics; ieee transactions on industry applications; ieee transactions on magnetics; iet power electronics</td></tr><tr><td>Terms:</td><td>photovoltaic module; induction generator; matrix converter; multilevel inverter; dc dc converter</td></tr></table>"	0.9812	0.2693	5	702	168387	47587	2012.3127
148	148	"<table><tr><td>Meso-level field:</td><td>148</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of palliative medicine; patient education and counseling; journal of pain and symptom management; palliative medicine; journal of medical ethics</td></tr><tr><td>Terms:</td><td>advance directive; palliative sedation; advance care planning; euthanasia; family presence</td></tr></table>"	-0.6846	0.4092	2	716	448287	47561	2010.5117
149	149	"<table><tr><td>Meso-level field:</td><td>149</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>analytical chemistry; journal of the american society for mass spectrometry; rapid communications in mass spectrometry; journal of proteome research; proteomics</td></tr><tr><td>Terms:</td><td>phosphopeptide; glycan; laser desorption ionization; electron capture dissociation; ion mobility mass spectrometry</td></tr></table>"	-0.4069	-0.265	3	774	1139280	47520	2010.2418
150	150	"<table><tr><td>Meso-level field:</td><td>150</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>lung cancer; journal of thoracic oncology; annals of thoracic surgery; journal of thoracic disease; european journal of cardio-thoracic surgery</td></tr><tr><td>Terms:</td><td>primary spontaneous pneumothorax; lung volume reduction surgery; lung cancer screening; transbronchial needle aspiration; endobronchial ultrasound</td></tr></table>"	-0.8541	-0.2092	2	762	734517	47203	2010.9718
151	151	"<table><tr><td>Meso-level field:</td><td>151</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>lecture notes in computer science; acm sigplan notices; ieee transactions on parallel and distributed systems; future generation computer systems-the international journal of escience; concurrency and computation-practice & experience</td></tr><tr><td>Terms:</td><td>chip multiprocessor; heterogeneous computing system; data grid; conditional diagnosability; star graph</td></tr></table>"	0.9282	0.4632	5	747	141568	47198	2009.6461
152	152	"<table><tr><td>Meso-level field:</td><td>152</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>lecture notes in computer science; discrete mathematics; theoretical computer science; discrete applied mathematics; information processing letters</td></tr><tr><td>Terms:</td><td>free graph; uniform hypergraph; ramsey number; metric dimension; total coloring</td></tr></table>"	0.9921	0.4716	5	683	82681	46909	2009.4649
153	153	"<table><tr><td>Meso-level field:</td><td>153</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of geotechnical and geoenvironmental engineering; international journal of rock mechanics and mining sciences; engineering geology; canadian geotechnical journal; computers and geotechnics</td></tr><tr><td>Terms:</td><td>landslide susceptibility mapping; soft clay; geogrid; cemented paste backfill; geosynthetic clay liner</td></tr></table>"	0.7824	0.096	3	725	246139	46131	2011.9121
154	154	"<table><tr><td>Meso-level field:</td><td>154</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>spine; european spine journal; journal of neurosurgery-spine; spine journal; journal of spinal disorders & techniques</td></tr><tr><td>Terms:</td><td>adolescent idiopathic scoliosis; percutaneous vertebroplasty; cervical spondylotic myelopathy; posterior longitudinal ligament; pedicle screw</td></tr></table>"	-0.8259	0.1767	2	746	282819	46130	2011.053
155	155	"<table><tr><td>Meso-level field:</td><td>155</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of biological chemistry; biochemical and biophysical research communications; cell death and differentiation; oncogene; plos one</td></tr><tr><td>Terms:</td><td>necroptosis; apoptosis inducing ligand; dr5; autoimmune lymphoproliferative syndrome; trail</td></tr></table>"	-0.6616	-0.2488	2	764	1734874	46108	2008.4883
156	156	"<table><tr><td>Meso-level field:</td><td>156</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>neuroimage; plos one; human brain mapping; clinical neurophysiology; journal of neuroscience</td></tr><tr><td>Terms:</td><td>brain computer interface; bci; mismatch negativity; ssvep; squid</td></tr></table>"	-0.4864	0.529	2	773	1214843	46060	2011.0509
157	157	"<table><tr><td>Meso-level field:</td><td>157</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of strength and conditioning research; european journal of applied physiology; medicine and science in sports and exercise; journal of applied physiology; journal of sports sciences</td></tr><tr><td>Terms:</td><td>relative age effect; doto; high intensity interval training; muscle damage; maximal oxygen uptake</td></tr></table>"	-0.725	0.1781	2	764	520515	45808	2010.8339
158	158	"<table><tr><td>Meso-level field:</td><td>158</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>surgical endoscopy and other interventional techniques; diseases of the esophagus; gastrointestinal endoscopy; world journal of gastroenterology; american journal of gastroenterology</td></tr><tr><td>Terms:</td><td>eosinophilic esophagitis; barrett; achalasia; gastroesophageal reflux disease; laryngopharyngeal reflux</td></tr></table>"	-0.8857	-0.1715	2	741	393624	45746	2010.4003
159	159	"<table><tr><td>Meso-level field:</td><td>159</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>water science and technology; bioresource technology; water research; international journal of hydrogen energy; environmental technology</td></tr><tr><td>Terms:</td><td>anaerobic co digestion; biohydrogen production; anammox; nitrogen removal; biological phosphorus removal</td></tr></table>"	0.4405	-0.1622	4	748	532086	45587	2011.1529
160	160	"<table><tr><td>Meso-level field:</td><td>160</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>epilepsia; epilepsy & behavior; seizure-european journal of epilepsy; epilepsy research; neurology</td></tr><tr><td>Terms:</td><td>ketogenic diet; dravet syndrome; antiepileptic drug; febrile seizure; anticonvulsant activity</td></tr></table>"	-0.6613	0.0838	2	767	610825	45496	2010.2022
161	161	"<table><tr><td>Meso-level field:</td><td>161</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>applied physics letters; journal of applied physics; journal of crystal growth; physica status solidi a-applications and materials science; nano letters</td></tr><tr><td>Terms:</td><td>algan gan hemts; algan gan high electron mobility transistor; gan layer; hydride vapor phase epitaxy; algan</td></tr></table>"	1.0581	-0.2699	3	705	415532	44937	2009.9089
162	162	"<table><tr><td>Meso-level field:</td><td>162</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>blood; leukemia; leukemia research; leukemia & lymphoma; british journal of haematology</td></tr><tr><td>Terms:</td><td>granulocytic sarcoma; myeloid sarcoma; hypereosinophilic syndrome; jak2 v617f mutation; myeloproliferative neoplasm</td></tr></table>"	-0.7597	-0.2841	2	730	681699	44899	2010.2549
163	163	"<table><tr><td>Meso-level field:</td><td>163</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of biological chemistry; nucleic acids research; dna repair; proceedings of the national academy of sciences of the united states of america; plos one</td></tr><tr><td>Terms:</td><td>cockayne syndrome; fanconi anemia; xrcc1; xeroderma pigmentosum; deinococcus radioduran</td></tr></table>"	-0.6572	-0.2742	2	751	1049296	44739	2009.6045
164	164	"<table><tr><td>Meso-level field:</td><td>164</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of allergy and clinical immunology; allergy; annals of allergy asthma & immunology; clinical and experimental allergy; international archives of allergy and immunology</td></tr><tr><td>Terms:</td><td>food allergy; peanut; chronic urticaria; allergenicity; sublingual immunotherapy</td></tr></table>"	-0.5218	-0.2121	2	768	473983	44700	2009.7779
165	165	"<table><tr><td>Meso-level field:</td><td>165</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>computer methods in applied mechanics and engineering; journal of computational and applied mathematics; international journal for numerical methods in engineering; applied mathematics and computation; engineering analysis with boundary elements</td></tr><tr><td>Terms:</td><td>superconvergence; saddle point problem; preconditioner; posteriori error estimate; local discontinuous galerkin method</td></tr></table>"	1.0649	0.1458	5	714	257319	44363	2010.0448
166	166	"<table><tr><td>Meso-level field:</td><td>166</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>plos one; endocrinology; journal of clinical endocrinology & metabolism; diabetes; peptides</td></tr><tr><td>Terms:</td><td>nesfatin; ghrelin; apelin; perivascular adipose tissue; irisin</td></tr></table>"	-0.6892	-0.0675	2	747	1244802	44261	2010.5975
167	167	"<table><tr><td>Meso-level field:</td><td>167</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of autism and developmental disorders; research in developmental disabilities; journal of intellectual disability research; research in autism spectrum disorders; journal of applied behavior analysis</td></tr><tr><td>Terms:</td><td>williams syndrome; high functioning autism; autism; multiple disability; autism spectrum disorder</td></tr></table>"	-0.5242	0.5576	1	735	513565	44227	2010.8812
168	168	"<table><tr><td>Meso-level field:</td><td>168</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>critical care medicine; intensive care medicine; critical care; journal of critical care; american journal of respiratory and critical care medicine</td></tr><tr><td>Terms:</td><td>delirium; fluid responsiveness; noninvasive ventilation; electrical impedance tomography; high frequency oscillatory ventilation</td></tr></table>"	-0.8259	0.0484	2	749	577958	43852	2010.988
169	169	"<table><tr><td>Meso-level field:</td><td>169</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of clinical endocrinology & metabolism; clinical endocrinology; european journal of endocrinology; growth hormone & igf research; pituitary</td></tr><tr><td>Terms:</td><td>transsphenoidal surgery; pituitary apoplexy; acromegaly; multiple endocrine neoplasia type; somatostatin receptor subtype</td></tr></table>"	-0.8437	-0.1344	2	728	562515	43753	2009.2973
170	170	"<table><tr><td>Meso-level field:</td><td>170</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>international journal of pharmaceutics; drug development and industrial pharmacy; european journal of pharmaceutics and biopharmaceutics; journal of pharmaceutical sciences; aaps pharmscitech</td></tr><tr><td>Terms:</td><td>solid dispersion; tablet; nanostructured lipid carrier; solid lipid nanoparticle; pellet</td></tr></table>"	0.0784	-0.3113	2	766	836194	43496	2011.0738
171	171	"<table><tr><td>Meso-level field:</td><td>171</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of clinical endocrinology & metabolism; journal of steroid biochemistry and molecular biology; plos one; nephrology dialysis transplantation; kidney international</td></tr><tr><td>Terms:</td><td>primary hyperparathyroidism; hydroxyvitamin d; vitamin d deficiency; cinacalcet; parathyroidectomy</td></tr></table>"	-0.7465	-0.0586	2	748	567379	43479	2010.7323
172	172	"<table><tr><td>Meso-level field:</td><td>172</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of rheumatology; annals of the rheumatic diseases; rheumatology; arthritis and rheumatism; clinical and experimental rheumatology</td></tr><tr><td>Terms:</td><td>axial spondyloarthritis; severe plaque psoriasis; diffuse idiopathic skeletal hyperostosis; psoriatic arthritis; nail psoriasis</td></tr></table>"	-0.7923	-0.2629	2	734	637686	43437	2010.931
173	173	"<table><tr><td>Meso-level field:</td><td>173</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Journals:</td><td>bioinformatics; bmc bioinformatics; nucleic acids research; plos one; bmc genomics</td></tr><tr><td>Terms:</td><td>gene selection; microarray experiment; biomedical literature; ontology; transcriptome assembly</td></tr></table>"	-0.4869	-0.2145	2	777	1755928	43343	2011.0003
174	174	"<table><tr><td>Meso-level field:</td><td>174</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>thyroid; journal of clinical endocrinology & metabolism; clinical endocrinology; european journal of endocrinology; world journal of surgery</td></tr><tr><td>Terms:</td><td>subclinical hypothyroidism; differentiated thyroid cancer; total thyroidectomy; thyroid nodule; graves disease</td></tr></table>"	-0.8616	-0.1391	2	734	357317	43284	2010.3887
175	175	"<table><tr><td>Meso-level field:</td><td>175</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of chromatography a; electrophoresis; analytical chemistry; journal of separation science; chromatographia</td></tr><tr><td>Terms:</td><td>chiral stationary phase; chiral selector; enantioseparation; bed chromatography; capillary electrochromatography</td></tr></table>"	0.2629	-0.2952	3	759	546580	43269	2008.4057
176	176	"<table><tr><td>Meso-level field:</td><td>176</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>plos one; applied and environmental microbiology; international journal of food microbiology; frontiers in microbiology; scientific reports</td></tr><tr><td>Terms:</td><td>gut microbiome; bacteriocin; lactobacillus rhamnosus gg; probiotic property; dysbiosis</td></tr></table>"	-0.3753	-0.2535	4	760	1073368	43057	2011.9648
177	177	"<table><tr><td>Meso-level field:</td><td>177</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>materials science and engineering a-structural materials properties microstructure and processing; journal of alloys and compounds; transactions of nonferrous metals society of china; metallurgical and materials transactions a-physical metallurgy and materials science; acta materialia</td></tr><tr><td>Terms:</td><td>mushy layer; dendritic growth; semi solid state; mg 3al; magnesium matrix composite</td></tr></table>"	1.1016	-0.2018	3	689	269170	43029	2010.3956
178	178	"<table><tr><td>Meso-level field:</td><td>178</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>vaccine; pediatric infectious disease journal; infection and immunity; plos one; clinical infectious diseases</td></tr><tr><td>Terms:</td><td>meningococcal disease; procalcitonin; valent pneumococcal conjugate vaccine; rheumatic heart disease; neisseria meningitidi</td></tr></table>"	-0.5062	-0.3317	2	738	498688	42938	2009.5232
179	179	"<table><tr><td>Meso-level field:</td><td>179</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>helicobacter; alimentary pharmacology & therapeutics; world journal of gastroenterology; digestive diseases and sciences; plos one</td></tr><tr><td>Terms:</td><td>urea breath test; helicobacter pylori strain; perforated peptic ulcer; clarithromycin resistance; caga</td></tr></table>"	-0.6735	-0.1757	2	757	700079	42850	2008.4622
180	180	"<table><tr><td>Meso-level field:</td><td>180</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of periodontology; journal of clinical periodontology; caries research; british dental journal; community dentistry and oral epidemiology</td></tr><tr><td>Terms:</td><td>fluoride removal; porphyromonas gingivalis; dental erosion; dental cary; streptococcus mutan</td></tr></table>"	-0.4191	-0.0762	2	763	460937	42808	2010.4927
181	181	"<table><tr><td>Meso-level field:</td><td>181</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>acta crystallographica section e-crystallographic communications; acta crystallographica section c-structural chemistry; crystal growth & design; crystengcomm; zeitschrift fur kristallographie-new crystal structures</td></tr><tr><td>Terms:</td><td>triorganotin; triphenyltin; pharmaceutical cocrystal; nhp; phosphoric triamide</td></tr></table>"	0.6223	-0.4348	3	725	504023	42704	2009.1601
182	182	"<table><tr><td>Meso-level field:</td><td>182</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>pediatrics; american journal of obstetrics and gynecology; pediatric research; acta paediatrica; journal of maternal-fetal & neonatal medicine</td></tr><tr><td>Terms:</td><td>cervical length; preterm child; neonatal resuscitation; pulmonary alveolar proteinosis; patent ductus arteriosus</td></tr></table>"	-0.7374	0.043	2	747	615436	42588	2010.2229
183	183	"<table><tr><td>Meso-level field:</td><td>183</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of urology; bju international; urology; european urology; international journal of radiation oncology biology physics</td></tr><tr><td>Terms:</td><td>castration resistant prostate cancer; prostate biopsy; gleason score; radical prostatectomy; prostate cancer detection</td></tr></table>"	-0.8234	-0.1808	2	743	583457	42584	2010.6509
184	184	"<table><tr><td>Meso-level field:</td><td>184</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>physical review a; physical review letters; physical review b; journal of low temperature physics; journal of physics b-atomic molecular and optical physics</td></tr><tr><td>Terms:</td><td>feshbach resonance; helium nanodroplet; bose einstein; bose gase; body localization</td></tr></table>"	1.2607	-0.0339	3	576	376129	41791	2010.1768
185	185	"<table><tr><td>Meso-level field:</td><td>185</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>pmla-publications of the modern language association of america; victorian literature and culture; research in african literatures; victorian poetry; african american review</td></tr><tr><td>Terms:</td><td>henry james; christina rossetti; jane eyre; toni morrison; melville</td></tr></table>"	-0.2583	0.9237	1	682	41136	41562	2009.6221
186	186	"<table><tr><td>Meso-level field:</td><td>186</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>journal of physics d-applied physics; ieee transactions on plasma science; plasma sources science & technology; physics of plasmas; journal of applied physics</td></tr><tr><td>Terms:</td><td>atmospheric pressure plasma; dielectric barrier discharge; plasma treatment; hall thruster; inactivation</td></tr></table>"	1.0025	-0.1826	3	741	275394	41531	2009.5351
187	187	"<table><tr><td>Meso-level field:</td><td>187</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>leukemia & lymphoma; blood; british journal of haematology; journal of clinical oncology; leukemia</td></tr><tr><td>Terms:</td><td>intravascular large b cell lymphoma; primary central nervous system lymphoma; sezary syndrome; monoclonal b cell lymphocytosis; nasal type</td></tr></table>"	-0.7935	-0.3184	2	711	453571	41432	2009.9778
188	188	"<table><tr><td>Meso-level field:</td><td>188</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>fordham law review; notre dame law review; harvard law review; university of chicago law review; boston university law review</td></tr><tr><td>Terms:</td><td>fourth amendment; originalism; class action; statutory interpretation; supreme court</td></tr></table>"	-0.2199	0.8417	1	734	165309	41389	2009.1866
189	189	"<table><tr><td>Meso-level field:</td><td>189</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>corrosion science; international journal of electrochemical science; electrochimica acta; corrosion; journal of the electrochemical society</td></tr><tr><td>Terms:</td><td>corrosion inhibition; mild steel corrosion; atmospheric corrosion; hydrochloric acid solution; plasma electrolytic oxidation</td></tr></table>"	1.0365	-0.2188	3	747	334594	41358	2010.807
190	190	"<table><tr><td>Meso-level field:</td><td>190</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>tourism management; journal of business research; annals of tourism research; psychology & marketing; european journal of marketing</td></tr><tr><td>Terms:</td><td>compulsive buying; destination image; service failure; online review; service recovery</td></tr></table>"	-0.2151	0.8131	1	745	453056	41348	2011.7295
191	191	"<table><tr><td>Meso-level field:</td><td>191</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities; Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Journals:</td><td>energy policy; renewable & sustainable energy reviews; journal of cleaner production; energy economics; energy</td></tr><tr><td>Terms:</td><td>indoor air pollution; emergy evaluation; environmental kuznets curve; climate sensitivity; emergy</td></tr></table>"	0.3642	0.4543	1	755	523816	41297	2012.3923
192	192	"<table><tr><td>Meso-level field:</td><td>192</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Journals:</td><td>malaria journal; plos one; american journal of tropical medicine and hygiene; antimicrobial agents and chemotherapy; journal of infectious diseases</td></tr><tr><td>Terms:</td><td>plasmodium falciparum; malaria parasite; severe malaria; plasmodium; chloroquine</td></tr></table>"	-0.407	-0.3361	2	758	471668	41286	2010.3886
193	193	"<table><tr><td>Meso-level field:</td><td>193</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>lecture notes in computer science; computer networks; computer communications; ieice transactions on communications; ieee-acm transactions on networking</td></tr><tr><td>Terms:</td><td>optical burst; wdm network; elastic optical network; m g; retrial queue</td></tr></table>"	0.9352	0.4598	5	727	128918	41097	2008.6799
194	194	"<table><tr><td>Meso-level field:</td><td>194</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>physical review c; nuclear physics a; nuclear instruments & methods in physics research section a-accelerators spectrometers detectors and associated equipment; european physical journal a; physics of atomic nuclei</td></tr><tr><td>Terms:</td><td>superheavy nuclei; coulomb barrier; nuclear data sheets; shape coexistence; neutron rich nuclei</td></tr></table>"	1.3575	0.0543	3	609	123988	41094	2009.0642
195	195	"<table><tr><td>Meso-level field:</td><td>195</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>clinical orthopaedics and related research; skeletal radiology; american journal of surgical pathology; cancer; pediatric blood & cancer</td></tr><tr><td>Terms:</td><td>osteoid osteoma; solitary fibrous tumor; aneurysmal bone cyst; fibrous dysplasia; synovial sarcoma</td></tr></table>"	-0.9568	-0.1995	2	708	265066	40911	2009.8101
196	196	"<table><tr><td>Meso-level field:</td><td>196</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>international journal of heat and mass transfer; applied thermal engineering; international communications in heat and mass transfer; international journal of thermal sciences; journal of heat transfer-transactions of the asme</td></tr><tr><td>Terms:</td><td>peristaltic flow; trickle bed reactor; nanofluid; second grade fluid; stagnation point flow</td></tr></table>"	0.9415	0.0208	3	751	307573	40796	2011.3218
197	197	"<table><tr><td>Meso-level field:</td><td>197</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>stroke; journal of stroke & cerebrovascular diseases; cerebrovascular diseases; journal of vascular surgery; american journal of neuroradiology</td></tr><tr><td>Terms:</td><td>moyamoya disease; carotid angioplasty; carotid endarterectomy; carotid stenting; dynamic cerebral autoregulation</td></tr></table>"	-0.8579	0.0703	2	743	486604	40765	2010.5909
